date,category,complaints
2012-11-11,Boilers,5
2012-11-11,Heating/Hot Water,440
2012-11-11,Homeless/Shelter,6
2012-11-11,Plumbing,123
2012-11-11,Water/Leak,51
2012-11-12,Boilers,12
2012-11-12,Heating/Hot Water,507
2012-11-12,Homeless/Shelter,11
2012-11-12,Plumbing,229
2012-11-12,Water/Leak,78
2012-11-13,Boilers,9
2012-11-13,Heating/Hot Water,993
2012-11-13,Homeless/Shelter,3
2012-11-13,Plumbing,333
2012-11-13,Water/Leak,82
2012-11-14,Boilers,8
2012-11-14,Heating/Hot Water,1453
2012-11-14,Homeless/Shelter,6
2012-11-14,Plumbing,342
2012-11-14,Water/Leak,81
2012-11-15,Boilers,11
2012-11-15,Heating/Hot Water,1322
2012-11-15,Homeless/Shelter,11
2012-11-15,Plumbing,328
2012-11-15,Water/Leak,112
2012-11-16,Boilers,10
2012-11-16,Heating/Hot Water,1274
2012-11-16,Plumbing,256
2012-11-16,Water/Leak,127
2012-11-17,Boilers,3
2012-11-17,Heating/Hot Water,923
2012-11-17,Homeless/Shelter,5
2012-11-17,Plumbing,160
2012-11-17,Water/Leak,93
2012-11-18,Boilers,7
2012-11-18,Heating/Hot Water,883
2012-11-18,Homeless/Shelter,4
2012-11-18,Plumbing,127
2012-11-18,Water/Leak,135
2012-11-19,Boilers,5
2012-11-19,Heating/Hot Water,1156
2012-11-19,Homeless/Shelter,4
2012-11-19,Plumbing,335
2012-11-19,Water/Leak,115
2012-11-20,Boilers,8
2012-11-20,Heating/Hot Water,969
2012-11-20,Homeless/Shelter,8
2012-11-20,Plumbing,299
2012-11-20,Water/Leak,137
2012-11-21,Boilers,8
2012-11-21,Heating/Hot Water,729
2012-11-21,Homeless/Shelter,2
2012-11-21,Plumbing,231
2012-11-21,Water/Leak,196
2012-11-22,Boilers,3
2012-11-22,Heating/Hot Water,455
2012-11-22,Homeless/Shelter,1
2012-11-22,Plumbing,94
2012-11-22,Water/Leak,67
2012-11-23,Boilers,5
2012-11-23,Heating/Hot Water,568
2012-11-23,Homeless/Shelter,3
2012-11-23,Plumbing,196
2012-11-23,Water/Leak,95
2012-11-24,Boilers,5
2012-11-24,Heating/Hot Water,1243
2012-11-24,Homeless/Shelter,6
2012-11-24,Plumbing,167
2012-11-24,Water/Leak,65
2012-11-25,Boilers,14
2012-11-25,Heating/Hot Water,1569
2012-11-25,Homeless/Shelter,8
2012-11-25,Plumbing,121
2012-11-25,Water/Leak,47
2012-11-26,Boilers,8
2012-11-26,Heating/Hot Water,1446
2012-11-26,Homeless/Shelter,6
2012-11-26,Plumbing,369
2012-11-26,Water/Leak,108
2012-11-27,Boilers,18
2012-11-27,Heating/Hot Water,1485
2012-11-27,Homeless/Shelter,3
2012-11-27,Plumbing,372
2012-11-27,Water/Leak,100
2012-11-28,Boilers,10
2012-11-28,Heating/Hot Water,1376
2012-11-28,Homeless/Shelter,2
2012-11-28,Plumbing,364
2012-11-28,Water/Leak,87
2012-11-29,Boilers,11
2012-11-29,Heating/Hot Water,1346
2012-11-29,Homeless/Shelter,7
2012-11-29,Plumbing,390
2012-11-29,Snow/Ice,1
2012-11-29,Water/Leak,121
2012-11-30,Boilers,11
2012-11-30,Heating/Hot Water,1133
2012-11-30,Homeless/Shelter,4
2012-11-30,Plumbing,358
2012-11-30,Snow/Ice,1
2012-11-30,Water/Leak,119
2012-12-01,Boilers,5
2012-12-01,Heating/Hot Water,964
2012-12-01,Homeless/Shelter,2
2012-12-01,Plumbing,159
2012-12-01,Water/Leak,41
2012-12-02,Boilers,5
2012-12-02,Heating/Hot Water,534
2012-12-02,Homeless/Shelter,5
2012-12-02,Plumbing,140
2012-12-02,Water/Leak,78
2012-12-03,Boilers,8
2012-12-03,Heating/Hot Water,478
2012-12-03,Homeless/Shelter,8
2012-12-03,Plumbing,333
2012-12-03,Water/Leak,132
2012-12-04,Boilers,9
2012-12-04,Heating/Hot Water,499
2012-12-04,Homeless/Shelter,4
2012-12-04,Plumbing,361
2012-12-04,Water/Leak,101
2012-12-05,Boilers,7
2012-12-05,Heating/Hot Water,954
2012-12-05,Homeless/Shelter,6
2012-12-05,Plumbing,281
2012-12-05,Water/Leak,120
2012-12-06,Boilers,11
2012-12-06,Heating/Hot Water,1412
2012-12-06,Homeless/Shelter,2
2012-12-06,Plumbing,301
2012-12-06,Snow/Ice,1
2012-12-06,Water/Leak,108
2012-12-07,Boilers,10
2012-12-07,Heating/Hot Water,986
2012-12-07,Homeless/Shelter,7
2012-12-07,Plumbing,260
2012-12-07,Water/Leak,77
2012-12-08,Boilers,4
2012-12-08,Heating/Hot Water,561
2012-12-08,Homeless/Shelter,9
2012-12-08,Plumbing,140
2012-12-08,Water/Leak,56
2012-12-09,Boilers,12
2012-12-09,Heating/Hot Water,598
2012-12-09,Homeless/Shelter,1
2012-12-09,Plumbing,136
2012-12-09,Water/Leak,47
2012-12-10,Boilers,2
2012-12-10,Heating/Hot Water,507
2012-12-10,Homeless/Shelter,5
2012-12-10,Plumbing,360
2012-12-10,Water/Leak,67
2012-12-11,Boilers,8
2012-12-11,Heating/Hot Water,753
2012-12-11,Homeless/Shelter,10
2012-12-11,Plumbing,319
2012-12-11,Water/Leak,110
2012-12-12,Boilers,12
2012-12-12,Heating/Hot Water,961
2012-12-12,Homeless/Shelter,5
2012-12-12,Plumbing,285
2012-12-12,Water/Leak,146
2012-12-13,Boilers,10
2012-12-13,Heating/Hot Water,1023
2012-12-13,Homeless/Shelter,4
2012-12-13,Plumbing,283
2012-12-13,Water/Leak,140
2012-12-14,Boilers,8
2012-12-14,Heating/Hot Water,881
2012-12-14,Homeless/Shelter,7
2012-12-14,Plumbing,240
2012-12-14,Water/Leak,214
2012-12-15,Boilers,6
2012-12-15,Heating/Hot Water,734
2012-12-15,Homeless/Shelter,7
2012-12-15,Plumbing,140
2012-12-15,Water/Leak,95
2012-12-16,Boilers,5
2012-12-16,Heating/Hot Water,725
2012-12-16,Homeless/Shelter,5
2012-12-16,Plumbing,136
2012-12-16,Water/Leak,49
2012-12-17,Boilers,6
2012-12-17,Heating/Hot Water,908
2012-12-17,Homeless/Shelter,11
2012-12-17,Plumbing,321
2012-12-17,Water/Leak,83
2012-12-18,Boilers,12
2012-12-18,Heating/Hot Water,715
2012-12-18,Homeless/Shelter,5
2012-12-18,Plumbing,297
2012-12-18,Water/Leak,85
2012-12-19,Boilers,15
2012-12-19,Heating/Hot Water,950
2012-12-19,Homeless/Shelter,4
2012-12-19,Plumbing,313
2012-12-19,Water/Leak,101
2012-12-20,Boilers,12
2012-12-20,Heating/Hot Water,848
2012-12-20,Homeless/Shelter,3
2012-12-20,Plumbing,264
2012-12-20,Water/Leak,104
2012-12-21,Boilers,8
2012-12-21,Heating/Hot Water,973
2012-12-21,Homeless/Shelter,4
2012-12-21,Plumbing,339
2012-12-21,Water/Leak,62
2012-12-22,Boilers,12
2012-12-22,Heating/Hot Water,1479
2012-12-22,Homeless/Shelter,2
2012-12-22,Plumbing,180
2012-12-22,Snow/Ice,1
2012-12-22,Water/Leak,57
2012-12-23,Heating/Hot Water,1055
2012-12-23,Homeless/Shelter,1
2012-12-23,Plumbing,133
2012-12-23,Water/Leak,36
2012-12-24,Heating/Hot Water,848
2012-12-24,Plumbing,164
2012-12-24,Water/Leak,98
2012-12-25,Heating/Hot Water,650
2012-12-25,Plumbing,90
2012-12-25,Snow/Ice,1
2012-12-25,Water/Leak,23
2012-12-26,Boilers,2
2012-12-26,Heating/Hot Water,1805
2012-12-26,Homeless/Shelter,3
2012-12-26,Plumbing,317
2012-12-26,Snow/Ice,6
2012-12-26,Water/Leak,98
2012-12-27,Boilers,41
2012-12-27,Heating/Hot Water,1509
2012-12-27,Homeless/Shelter,6
2012-12-27,Plumbing,591
2012-12-27,Snow/Ice,3
2012-12-27,Water/Leak,124
2012-12-28,Boilers,10
2012-12-28,Heating/Hot Water,1515
2012-12-28,Homeless/Shelter,1
2012-12-28,Plumbing,338
2012-12-28,Snow/Ice,12
2012-12-28,Water/Leak,120
2012-12-29,Boilers,6
2012-12-29,Heating/Hot Water,1208
2012-12-29,Homeless/Shelter,1
2012-12-29,Plumbing,202
2012-12-29,Snow/Ice,1
2012-12-29,Water/Leak,46
2012-12-30,Boilers,11
2012-12-30,Heating/Hot Water,1626
2012-12-30,Homeless/Shelter,1
2012-12-30,Plumbing,150
2012-12-30,Snow/Ice,16
2012-12-30,Water/Leak,50
2012-12-31,Boilers,10
2012-12-31,Heating/Hot Water,1377
2012-12-31,Homeless/Shelter,4
2012-12-31,Plumbing,239
2012-12-31,Snow/Ice,7
2012-12-31,Water/Leak,78
2013-01-01,Boilers,6
2013-01-01,Heating/Hot Water,1051
2013-01-01,Homeless/Shelter,4
2013-01-01,Plumbing,161
2013-01-01,Snow/Ice,2
2013-01-01,Water/Leak,75
2013-01-02,Boilers,12
2013-01-02,Heating/Hot Water,1862
2013-01-02,Homeless/Shelter,3
2013-01-02,Plumbing,368
2013-01-02,Snow/Ice,5
2013-01-02,Water/Leak,158
2013-01-03,Boilers,20
2013-01-03,Heating/Hot Water,1780
2013-01-03,Homeless/Shelter,6
2013-01-03,Plumbing,349
2013-01-03,Snow/Ice,8
2013-01-03,Water/Leak,159
2013-01-04,Boilers,9
2013-01-04,Heating/Hot Water,1311
2013-01-04,Homeless/Shelter,2
2013-01-04,Plumbing,344
2013-01-04,Snow/Ice,4
2013-01-04,Water/Leak,180
2013-01-05,Boilers,12
2013-01-05,Heating/Hot Water,1020
2013-01-05,Homeless/Shelter,4
2013-01-05,Plumbing,172
2013-01-05,Snow/Ice,3
2013-01-05,Water/Leak,273
2013-01-06,Boilers,6
2013-01-06,Heating/Hot Water,765
2013-01-06,Homeless/Shelter,3
2013-01-06,Plumbing,146
2013-01-06,Water/Leak,79
2013-01-07,Boilers,15
2013-01-07,Heating/Hot Water,849
2013-01-07,Homeless/Shelter,7
2013-01-07,Plumbing,345
2013-01-07,Water/Leak,167
2013-01-08,Boilers,15
2013-01-08,Heating/Hot Water,883
2013-01-08,Homeless/Shelter,6
2013-01-08,Plumbing,298
2013-01-08,Water/Leak,211
2013-01-09,Boilers,6
2013-01-09,Heating/Hot Water,664
2013-01-09,Homeless/Shelter,14
2013-01-09,Plumbing,311
2013-01-09,Snow/Ice,1
2013-01-09,Water/Leak,275
2013-01-10,Boilers,13
2013-01-10,Heating/Hot Water,730
2013-01-10,Homeless/Shelter,6
2013-01-10,Plumbing,349
2013-01-10,Snow/Ice,1
2013-01-10,Water/Leak,162
2013-01-11,Boilers,8
2013-01-11,Heating/Hot Water,675
2013-01-11,Homeless/Shelter,3
2013-01-11,Plumbing,292
2013-01-11,Water/Leak,147
2013-01-12,Boilers,6
2013-01-12,Heating/Hot Water,566
2013-01-12,Homeless/Shelter,4
2013-01-12,Plumbing,113
2013-01-12,Water/Leak,63
2013-01-13,Boilers,4
2013-01-13,Heating/Hot Water,521
2013-01-13,Homeless/Shelter,3
2013-01-13,Plumbing,120
2013-01-13,Water/Leak,39
2013-01-14,Boilers,10
2013-01-14,Heating/Hot Water,559
2013-01-14,Homeless/Shelter,6
2013-01-14,Plumbing,339
2013-01-14,Water/Leak,116
2013-01-15,Boilers,14
2013-01-15,Heating/Hot Water,953
2013-01-15,Homeless/Shelter,5
2013-01-15,Plumbing,307
2013-01-15,Water/Leak,91
2013-01-16,Boilers,14
2013-01-16,Heating/Hot Water,1056
2013-01-16,Homeless/Shelter,3
2013-01-16,Plumbing,378
2013-01-16,Snow/Ice,4
2013-01-16,Water/Leak,81
2013-01-17,Boilers,6
2013-01-17,Heating/Hot Water,621
2013-01-17,Homeless/Shelter,8
2013-01-17,Plumbing,340
2013-01-17,Snow/Ice,1
2013-01-17,Water/Leak,172
2013-01-18,Boilers,11
2013-01-18,Heating/Hot Water,1526
2013-01-18,Homeless/Shelter,4
2013-01-18,Plumbing,290
2013-01-18,Snow/Ice,6
2013-01-18,Water/Leak,123
2013-01-19,Boilers,16
2013-01-19,Heating/Hot Water,1059
2013-01-19,Homeless/Shelter,1
2013-01-19,Plumbing,139
2013-01-19,Snow/Ice,3
2013-01-19,Water/Leak,74
2013-01-20,Boilers,9
2013-01-20,Heating/Hot Water,297
2013-01-20,Homeless/Shelter,2
2013-01-20,Plumbing,111
2013-01-20,Water/Leak,44
2013-01-21,Boilers,14
2013-01-21,Heating/Hot Water,1825
2013-01-21,Homeless/Shelter,3
2013-01-21,Plumbing,200
2013-01-21,Snow/Ice,4
2013-01-21,Water/Leak,73
2013-01-22,Boilers,21
2013-01-22,Heating/Hot Water,2760
2013-01-22,Homeless/Shelter,1
2013-01-22,Plumbing,420
2013-01-22,Snow/Ice,15
2013-01-22,Water/Leak,147
2013-01-23,Boilers,30
2013-01-23,Heating/Hot Water,2902
2013-01-23,Homeless/Shelter,5
2013-01-23,Plumbing,395
2013-01-23,Snow/Ice,34
2013-01-23,Water/Leak,285
2013-01-24,Boilers,40
2013-01-24,Heating/Hot Water,5910
2013-01-24,Homeless/Shelter,3
2013-01-24,Plumbing,446
2013-01-24,Snow/Ice,61
2013-01-24,Water/Leak,300
2013-01-25,Boilers,22
2013-01-25,Heating/Hot Water,3423
2013-01-25,Homeless/Shelter,1
2013-01-25,Plumbing,411
2013-01-25,Snow/Ice,49
2013-01-25,Water/Leak,238
2013-01-26,Boilers,17
2013-01-26,Heating/Hot Water,2525
2013-01-26,Homeless/Shelter,1
2013-01-26,Plumbing,158
2013-01-26,Snow/Ice,31
2013-01-26,Water/Leak,366
2013-01-27,Boilers,17
2013-01-27,Heating/Hot Water,1751
2013-01-27,Homeless/Shelter,4
2013-01-27,Plumbing,201
2013-01-27,Snow/Ice,18
2013-01-27,Water/Leak,163
2013-01-28,Boilers,14
2013-01-28,Heating/Hot Water,1583
2013-01-28,Homeless/Shelter,4
2013-01-28,Plumbing,467
2013-01-28,Snow/Ice,62
2013-01-28,Water/Leak,301
2013-01-29,Boilers,14
2013-01-29,Heating/Hot Water,890
2013-01-29,Homeless/Shelter,4
2013-01-29,Plumbing,386
2013-01-29,Snow/Ice,9
2013-01-29,Water/Leak,434
2013-01-30,Boilers,8
2013-01-30,Heating/Hot Water,654
2013-01-30,Homeless/Shelter,3
2013-01-30,Plumbing,345
2013-01-30,Snow/Ice,3
2013-01-30,Water/Leak,437
2013-01-31,Boilers,6
2013-01-31,Heating/Hot Water,924
2013-01-31,Homeless/Shelter,4
2013-01-31,Plumbing,353
2013-01-31,Snow/Ice,1
2013-01-31,Water/Leak,210
2013-02-01,Boilers,7
2013-02-01,Heating/Hot Water,1372
2013-02-01,Homeless/Shelter,5
2013-02-01,Plumbing,290
2013-02-01,Snow/Ice,15
2013-02-01,Water/Leak,489
2013-02-02,Boilers,11
2013-02-02,Heating/Hot Water,1542
2013-02-02,Homeless/Shelter,6
2013-02-02,Plumbing,209
2013-02-02,Snow/Ice,21
2013-02-02,Water/Leak,204
2013-02-03,Boilers,7
2013-02-03,Heating/Hot Water,1241
2013-02-03,Homeless/Shelter,1
2013-02-03,Plumbing,134
2013-02-03,Snow/Ice,9
2013-02-03,Water/Leak,75
2013-02-04,Boilers,14
2013-02-04,Heating/Hot Water,1579
2013-02-04,Homeless/Shelter,7
2013-02-04,Plumbing,291
2013-02-04,Snow/Ice,19
2013-02-04,Water/Leak,150
2013-02-05,Boilers,18
2013-02-05,Heating/Hot Water,1238
2013-02-05,Homeless/Shelter,3
2013-02-05,Plumbing,364
2013-02-05,Snow/Ice,7
2013-02-05,Water/Leak,117
2013-02-06,Boilers,5
2013-02-06,Heating/Hot Water,978
2013-02-06,Homeless/Shelter,1
2013-02-06,Plumbing,352
2013-02-06,Snow/Ice,27
2013-02-06,Water/Leak,167
2013-02-07,Boilers,20
2013-02-07,Heating/Hot Water,1236
2013-02-07,Homeless/Shelter,6
2013-02-07,Plumbing,289
2013-02-07,Snow/Ice,11
2013-02-07,Water/Leak,172
2013-02-08,Boilers,3
2013-02-08,Heating/Hot Water,1413
2013-02-08,Plumbing,259
2013-02-08,Snow/Ice,1
2013-02-08,Water/Leak,80
2013-02-09,Boilers,4
2013-02-09,Heating/Hot Water,1231
2013-02-09,Homeless/Shelter,4
2013-02-09,Plumbing,146
2013-02-09,Snow/Ice,50
2013-02-09,Water/Leak,47
2013-02-10,Boilers,7
2013-02-10,Heating/Hot Water,1170
2013-02-10,Plumbing,120
2013-02-10,Snow/Ice,408
2013-02-10,Water/Leak,60
2013-02-11,Boilers,8
2013-02-11,Heating/Hot Water,936
2013-02-11,Plumbing,481
2013-02-11,Snow/Ice,322
2013-02-11,Water/Leak,101
2013-02-12,Boilers,15
2013-02-12,Heating/Hot Water,690
2013-02-12,Homeless/Shelter,2
2013-02-12,Plumbing,311
2013-02-12,Snow/Ice,103
2013-02-12,Water/Leak,106
2013-02-13,Boilers,13
2013-02-13,Heating/Hot Water,690
2013-02-13,Homeless/Shelter,9
2013-02-13,Plumbing,339
2013-02-13,Snow/Ice,28
2013-02-13,Water/Leak,101
2013-02-14,Boilers,12
2013-02-14,Heating/Hot Water,647
2013-02-14,Homeless/Shelter,5
2013-02-14,Plumbing,287
2013-02-14,Snow/Ice,12
2013-02-14,Water/Leak,133
2013-02-15,Boilers,8
2013-02-15,Heating/Hot Water,528
2013-02-15,Homeless/Shelter,6
2013-02-15,Plumbing,256
2013-02-15,Snow/Ice,2
2013-02-15,Water/Leak,118
2013-02-16,Boilers,11
2013-02-16,Heating/Hot Water,794
2013-02-16,Homeless/Shelter,4
2013-02-16,Plumbing,142
2013-02-16,Water/Leak,65
2013-02-17,Boilers,13
2013-02-17,Heating/Hot Water,1361
2013-02-17,Homeless/Shelter,3
2013-02-17,Plumbing,113
2013-02-17,Snow/Ice,2
2013-02-17,Water/Leak,61
2013-02-18,Boilers,13
2013-02-18,Heating/Hot Water,1864
2013-02-18,Homeless/Shelter,4
2013-02-18,Plumbing,262
2013-02-18,Snow/Ice,11
2013-02-18,Water/Leak,126
2013-02-19,Boilers,9
2013-02-19,Heating/Hot Water,865
2013-02-19,Homeless/Shelter,5
2013-02-19,Plumbing,387
2013-02-19,Snow/Ice,2
2013-02-19,Water/Leak,126
2013-02-20,Boilers,8
2013-02-20,Heating/Hot Water,868
2013-02-20,Homeless/Shelter,4
2013-02-20,Plumbing,322
2013-02-20,Snow/Ice,8
2013-02-20,Water/Leak,101
2013-02-21,Boilers,14
2013-02-21,Heating/Hot Water,1794
2013-02-21,Plumbing,329
2013-02-21,Snow/Ice,16
2013-02-21,Water/Leak,160
2013-02-22,Boilers,12
2013-02-22,Heating/Hot Water,1005
2013-02-22,Homeless/Shelter,4
2013-02-22,Plumbing,258
2013-02-22,Snow/Ice,6
2013-02-22,Water/Leak,125
2013-02-23,Boilers,11
2013-02-23,Heating/Hot Water,687
2013-02-23,Homeless/Shelter,3
2013-02-23,Plumbing,180
2013-02-23,Snow/Ice,1
2013-02-23,Water/Leak,38
2013-02-24,Boilers,4
2013-02-24,Heating/Hot Water,611
2013-02-24,Homeless/Shelter,3
2013-02-24,Plumbing,93
2013-02-24,Water/Leak,72
2013-02-25,Boilers,7
2013-02-25,Heating/Hot Water,780
2013-02-25,Homeless/Shelter,8
2013-02-25,Plumbing,365
2013-02-25,Water/Leak,176
2013-02-26,Boilers,9
2013-02-26,Heating/Hot Water,749
2013-02-26,Homeless/Shelter,3
2013-02-26,Plumbing,254
2013-02-26,Water/Leak,121
2013-02-27,Boilers,8
2013-02-27,Heating/Hot Water,829
2013-02-27,Homeless/Shelter,3
2013-02-27,Plumbing,519
2013-02-27,Snow/Ice,1
2013-02-27,Water/Leak,114
2013-02-28,Boilers,8
2013-02-28,Heating/Hot Water,568
2013-02-28,Homeless/Shelter,4
2013-02-28,Plumbing,319
2013-02-28,Water/Leak,140
2013-03-01,Boilers,6
2013-03-01,Heating/Hot Water,583
2013-03-01,Homeless/Shelter,4
2013-03-01,Plumbing,256
2013-03-01,Water/Leak,85
2013-03-02,Boilers,4
2013-03-02,Heating/Hot Water,621
2013-03-02,Plumbing,191
2013-03-02,Water/Leak,94
2013-03-03,Boilers,8
2013-03-03,Heating/Hot Water,757
2013-03-03,Homeless/Shelter,2
2013-03-03,Plumbing,130
2013-03-03,Snow/Ice,1
2013-03-03,Water/Leak,70
2013-03-04,Boilers,6
2013-03-04,Heating/Hot Water,1056
2013-03-04,Homeless/Shelter,5
2013-03-04,Plumbing,363
2013-03-04,Snow/Ice,3
2013-03-04,Water/Leak,133
2013-03-05,Boilers,4
2013-03-05,Heating/Hot Water,693
2013-03-05,Plumbing,339
2013-03-05,Water/Leak,125
2013-03-06,Boilers,5
2013-03-06,Heating/Hot Water,1023
2013-03-06,Homeless/Shelter,3
2013-03-06,Plumbing,304
2013-03-06,Water/Leak,98
2013-03-07,Boilers,7
2013-03-07,Heating/Hot Water,934
2013-03-07,Homeless/Shelter,2
2013-03-07,Plumbing,298
2013-03-07,Water/Leak,111
2013-03-08,Boilers,10
2013-03-08,Heating/Hot Water,846
2013-03-08,Homeless/Shelter,3
2013-03-08,Plumbing,262
2013-03-08,Water/Leak,49
2013-03-09,Boilers,4
2013-03-09,Heating/Hot Water,501
2013-03-09,Homeless/Shelter,1
2013-03-09,Plumbing,154
2013-03-09,Water/Leak,88
2013-03-10,Boilers,4
2013-03-10,Heating/Hot Water,470
2013-03-10,Plumbing,149
2013-03-10,Water/Leak,70
2013-03-11,Boilers,3
2013-03-11,Heating/Hot Water,585
2013-03-11,Homeless/Shelter,4
2013-03-11,Plumbing,338
2013-03-11,Snow/Ice,1
2013-03-11,Water/Leak,108
2013-03-12,Boilers,6
2013-03-12,Heating/Hot Water,560
2013-03-12,Homeless/Shelter,4
2013-03-12,Plumbing,361
2013-03-12,Water/Leak,157
2013-03-13,Boilers,7
2013-03-13,Heating/Hot Water,557
2013-03-13,Homeless/Shelter,1
2013-03-13,Plumbing,300
2013-03-13,Water/Leak,124
2013-03-14,Boilers,15
2013-03-14,Heating/Hot Water,939
2013-03-14,Homeless/Shelter,4
2013-03-14,Plumbing,295
2013-03-14,Water/Leak,103
2013-03-15,Boilers,6
2013-03-15,Heating/Hot Water,777
2013-03-15,Homeless/Shelter,4
2013-03-15,Plumbing,250
2013-03-15,Snow/Ice,1
2013-03-15,Water/Leak,99
2013-03-16,Boilers,3
2013-03-16,Heating/Hot Water,671
2013-03-16,Homeless/Shelter,1
2013-03-16,Plumbing,171
2013-03-16,Water/Leak,51
2013-03-17,Boilers,6
2013-03-17,Heating/Hot Water,688
2013-03-17,Homeless/Shelter,1
2013-03-17,Plumbing,106
2013-03-17,Snow/Ice,1
2013-03-17,Water/Leak,60
2013-03-18,Boilers,9
2013-03-18,Heating/Hot Water,1089
2013-03-18,Homeless/Shelter,1
2013-03-18,Plumbing,308
2013-03-18,Snow/Ice,68
2013-03-18,Water/Leak,111
2013-03-19,Boilers,6
2013-03-19,Heating/Hot Water,818
2013-03-19,Homeless/Shelter,3
2013-03-19,Plumbing,444
2013-03-19,Snow/Ice,18
2013-03-19,Water/Leak,81
2013-03-20,Boilers,14
2013-03-20,Heating/Hot Water,666
2013-03-20,Homeless/Shelter,6
2013-03-20,Plumbing,303
2013-03-20,Snow/Ice,9
2013-03-20,Water/Leak,96
2013-03-21,Boilers,4
2013-03-21,Heating/Hot Water,689
2013-03-21,Homeless/Shelter,4
2013-03-21,Plumbing,270
2013-03-21,Water/Leak,80
2013-03-22,Boilers,6
2013-03-22,Heating/Hot Water,726
2013-03-22,Homeless/Shelter,3
2013-03-22,Plumbing,245
2013-03-22,Snow/Ice,2
2013-03-22,Water/Leak,82
2013-03-23,Boilers,1
2013-03-23,Heating/Hot Water,609
2013-03-23,Plumbing,159
2013-03-23,Water/Leak,69
2013-03-24,Boilers,6
2013-03-24,Heating/Hot Water,486
2013-03-24,Homeless/Shelter,1
2013-03-24,Plumbing,92
2013-03-24,Snow/Ice,1
2013-03-24,Water/Leak,71
2013-03-25,Boilers,6
2013-03-25,Heating/Hot Water,749
2013-03-25,Homeless/Shelter,6
2013-03-25,Plumbing,292
2013-03-25,Water/Leak,69
2013-03-26,Boilers,5
2013-03-26,Heating/Hot Water,479
2013-03-26,Homeless/Shelter,1
2013-03-26,Plumbing,294
2013-03-26,Water/Leak,106
2013-03-27,Boilers,8
2013-03-27,Heating/Hot Water,496
2013-03-27,Homeless/Shelter,5
2013-03-27,Plumbing,294
2013-03-27,Water/Leak,113
2013-03-28,Boilers,6
2013-03-28,Heating/Hot Water,516
2013-03-28,Homeless/Shelter,3
2013-03-28,Plumbing,205
2013-03-28,Water/Leak,129
2013-03-29,Boilers,2
2013-03-29,Heating/Hot Water,429
2013-03-29,Homeless/Shelter,2
2013-03-29,Plumbing,207
2013-03-29,Water/Leak,116
2013-03-30,Boilers,3
2013-03-30,Heating/Hot Water,338
2013-03-30,Homeless/Shelter,3
2013-03-30,Plumbing,111
2013-03-30,Water/Leak,60
2013-03-31,Boilers,4
2013-03-31,Heating/Hot Water,366
2013-03-31,Homeless/Shelter,2
2013-03-31,Plumbing,72
2013-03-31,Water/Leak,19
2013-04-01,Boilers,7
2013-04-01,Heating/Hot Water,481
2013-04-01,Homeless/Shelter,8
2013-04-01,Plumbing,286
2013-04-01,Water/Leak,99
2013-04-02,Boilers,5
2013-04-02,Heating/Hot Water,804
2013-04-02,Homeless/Shelter,5
2013-04-02,Plumbing,286
2013-04-02,Water/Leak,153
2013-04-03,Boilers,5
2013-04-03,Heating/Hot Water,762
2013-04-03,Homeless/Shelter,2
2013-04-03,Plumbing,348
2013-04-03,Water/Leak,143
2013-04-04,Boilers,2
2013-04-04,Heating/Hot Water,636
2013-04-04,Homeless/Shelter,2
2013-04-04,Plumbing,255
2013-04-04,Water/Leak,116
2013-04-05,Boilers,7
2013-04-05,Heating/Hot Water,368
2013-04-05,Homeless/Shelter,2
2013-04-05,Plumbing,264
2013-04-05,Water/Leak,120
2013-04-06,Boilers,4
2013-04-06,Heating/Hot Water,465
2013-04-06,Homeless/Shelter,3
2013-04-06,Plumbing,113
2013-04-06,Water/Leak,57
2013-04-07,Boilers,5
2013-04-07,Heating/Hot Water,391
2013-04-07,Homeless/Shelter,3
2013-04-07,Plumbing,128
2013-04-07,Water/Leak,48
2013-04-08,Boilers,3
2013-04-08,Heating/Hot Water,318
2013-04-08,Homeless/Shelter,6
2013-04-08,Plumbing,305
2013-04-08,Water/Leak,122
2013-04-09,Boilers,2
2013-04-09,Heating/Hot Water,288
2013-04-09,Homeless/Shelter,4
2013-04-09,Plumbing,254
2013-04-09,Water/Leak,157
2013-04-10,Boilers,2
2013-04-10,Heating/Hot Water,200
2013-04-10,Homeless/Shelter,6
2013-04-10,Plumbing,310
2013-04-10,Water/Leak,185
2013-04-11,Boilers,4
2013-04-11,Heating/Hot Water,176
2013-04-11,Homeless/Shelter,7
2013-04-11,Plumbing,277
2013-04-11,Water/Leak,137
2013-04-12,Boilers,3
2013-04-12,Heating/Hot Water,726
2013-04-12,Homeless/Shelter,1
2013-04-12,Plumbing,318
2013-04-12,Water/Leak,88
2013-04-13,Boilers,3
2013-04-13,Heating/Hot Water,405
2013-04-13,Homeless/Shelter,2
2013-04-13,Plumbing,162
2013-04-13,Water/Leak,56
2013-04-14,Boilers,5
2013-04-14,Heating/Hot Water,314
2013-04-14,Homeless/Shelter,3
2013-04-14,Plumbing,93
2013-04-14,Water/Leak,55
2013-04-15,Boilers,2
2013-04-15,Heating/Hot Water,493
2013-04-15,Homeless/Shelter,4
2013-04-15,Plumbing,228
2013-04-15,Water/Leak,102
2013-04-16,Boilers,8
2013-04-16,Heating/Hot Water,340
2013-04-16,Homeless/Shelter,6
2013-04-16,Plumbing,278
2013-04-16,Water/Leak,187
2013-04-17,Boilers,7
2013-04-17,Heating/Hot Water,208
