month,category,borough,complaints
2014-01,Plumbing,STATEN ISLAND,278
2014-01,Snow/Ice,BRONX,563
2014-01,Snow/Ice,BROOKLYN,1212
2014-01,Snow/Ice,MANHATTAN,416
2014-01,Snow/Ice,QUEENS,1252
2014-01,Snow/Ice,STATEN ISLAND,875
2014-01,Water/Leak,BRONX,923
2014-01,Water/Leak,BROOKLYN,1902
2014-01,Water/Leak,MANHATTAN,941
2014-01,Water/Leak,QUEENS,1871
2014-01,Water/Leak,STATEN ISLAND,639
2014-02,Boilers,BRONX,70
2014-02,Boilers,BROOKLYN,75
2014-02,Boilers,MANHATTAN,68
2014-02,Boilers,QUEENS,22
2014-02,Boilers,STATEN ISLAND,4
2014-02,Heating/Hot Water,BRONX,11466
2014-02,Heating/Hot Water,BROOKLYN,8457
2014-02,Heating/Hot Water,MANHATTAN,6082
2014-02,Heating/Hot Water,QUEENS,2985
2014-02,Heating/Hot Water,STATEN ISLAND,207
2014-02,Homeless/Shelter,BRONX,11
2014-02,Homeless/Shelter,BROOKLYN,34
2014-02,Homeless/Shelter,MANHATTAN,79
2014-02,Homeless/Shelter,QUEENS,17
2014-02,Homeless/Shelter,STATEN ISLAND,2
2014-02,Plumbing,BRONX,2430
2014-02,Plumbing,BROOKLYN,3609
2014-02,Plumbing,MANHATTAN,1859
2014-02,Plumbing,QUEENS,1136
2014-02,Plumbing,STATEN ISLAND,183
2014-02,Snow/Ice,BRONX,1627
2014-02,Snow/Ice,BROOKLYN,3310
2014-02,Snow/Ice,MANHATTAN,950
2014-02,Snow/Ice,QUEENS,3037
2014-02,Snow/Ice,STATEN ISLAND,1110
2014-02,Water/Leak,BRONX,510
2014-02,Water/Leak,BROOKLYN,1145
2014-02,Water/Leak,MANHATTAN,586
2014-02,Water/Leak,QUEENS,1179
2014-02,Water/Leak,STATEN ISLAND,781
2014-03,Boilers,BRONX,57
2014-03,Boilers,BROOKLYN,67
2014-03,Boilers,MANHATTAN,57
2014-03,Boilers,QUEENS,39
2014-03,Boilers,STATEN ISLAND,5
2014-03,Heating/Hot Water,BRONX,8512
2014-03,Heating/Hot Water,BROOKLYN,6856
2014-03,Heating/Hot Water,MANHATTAN,5119
2014-03,Heating/Hot Water,QUEENS,2657
2014-03,Heating/Hot Water,STATEN ISLAND,208
2014-03,Homeless/Shelter,BRONX,10
2014-03,Homeless/Shelter,BROOKLYN,34
2014-03,Homeless/Shelter,MANHATTAN,123
2014-03,Homeless/Shelter,QUEENS,23
2014-03,Homeless/Shelter,STATEN ISLAND,4
2014-03,Plumbing,BRONX,1739
2014-03,Plumbing,BROOKLYN,2189
2014-03,Plumbing,MANHATTAN,1292
2014-03,Plumbing,QUEENS,931
2014-03,Plumbing,STATEN ISLAND,128
2014-03,Snow/Ice,BRONX,39
2014-03,Snow/Ice,BROOKLYN,71
2014-03,Snow/Ice,MANHATTAN,24
2014-03,Snow/Ice,QUEENS,81
2014-03,Snow/Ice,STATEN ISLAND,35
2014-03,Water/Leak,BRONX,1118
2014-03,Water/Leak,BROOKLYN,2060
2014-03,Water/Leak,MANHATTAN,1070
2014-03,Water/Leak,QUEENS,1620
2014-03,Water/Leak,STATEN ISLAND,694
2014-04,Boilers,BRONX,40
2014-04,Boilers,BROOKLYN,41
2014-04,Boilers,MANHATTAN,50
2014-04,Boilers,QUEENS,18
2014-04,Boilers,STATEN ISLAND,5
2014-04,Heating/Hot Water,BRONX,4585
2014-04,Heating/Hot Water,BROOKLYN,3719
2014-04,Heating/Hot Water,MANHATTAN,3275
2014-04,Heating/Hot Water,QUEENS,1722
2014-04,Heating/Hot Water,STATEN ISLAND,113
2014-04,Homeless/Shelter,BRONX,21
2014-04,Homeless/Shelter,BROOKLYN,49
2014-04,Homeless/Shelter,MANHATTAN,108
2014-04,Homeless/Shelter,QUEENS,35
2014-04,Homeless/Shelter,STATEN ISLAND,4
2014-04,Plumbing,BRONX,1351
2014-04,Plumbing,BROOKLYN,1444
2014-04,Plumbing,MANHATTAN,849
2014-04,Plumbing,QUEENS,665
2014-04,Plumbing,STATEN ISLAND,121
2014-04,Snow/Ice,BRONX,3
2014-04,Snow/Ice,BROOKLYN,2
2014-04,Snow/Ice,MANHATTAN,1
2014-04,Snow/Ice,QUEENS,2
2014-04,Water/Leak,BRONX,1262
2014-04,Water/Leak,BROOKLYN,2168
2014-04,Water/Leak,MANHATTAN,1199
2014-04,Water/Leak,QUEENS,1554
2014-04,Water/Leak,STATEN ISLAND,568
2014-05,Boilers,BRONX,28
2014-05,Boilers,BROOKLYN,20
2014-05,Boilers,MANHATTAN,23
2014-05,Boilers,QUEENS,5
2014-05,Boilers,STATEN ISLAND,3
2014-05,Heating/Hot Water,BRONX,1313
2014-05,Heating/Hot Water,BROOKLYN,1323
2014-05,Heating/Hot Water,MANHATTAN,1107
2014-05,Heating/Hot Water,QUEENS,455
2014-05,Heating/Hot Water,STATEN ISLAND,70
2014-05,Homeless/Shelter,BRONX,35
2014-05,Homeless/Shelter,BROOKLYN,83
2014-05,Homeless/Shelter,MANHATTAN,207
2014-05,Homeless/Shelter,QUEENS,22
2014-05,Homeless/Shelter,STATEN ISLAND,1
2014-05,Plumbing,BRONX,1269
2014-05,Plumbing,BROOKLYN,1566
2014-05,Plumbing,MANHATTAN,786
2014-05,Plumbing,QUEENS,686
2014-05,Plumbing,STATEN ISLAND,123
2014-05,Water/Leak,BRONX,1630
2014-05,Water/Leak,BROOKLYN,2629
2014-05,Water/Leak,MANHATTAN,1361
2014-05,Water/Leak,QUEENS,1738
2014-05,Water/Leak,STATEN ISLAND,450
2014-06,Boilers,BRONX,6
2014-06,Boilers,BROOKLYN,11
2014-06,Boilers,MANHATTAN,26
2014-06,Boilers,QUEENS,3
2014-06,Heating/Hot Water,BRONX,941
2014-06,Heating/Hot Water,BROOKLYN,897
2014-06,Heating/Hot Water,MANHATTAN,621
2014-06,Heating/Hot Water,QUEENS,253
2014-06,Heating/Hot Water,STATEN ISLAND,35
2014-06,Homeless/Shelter,BRONX,23
2014-06,Homeless/Shelter,BROOKLYN,88
2014-06,Homeless/Shelter,MANHATTAN,213
2014-06,Homeless/Shelter,QUEENS,49
2014-06,Homeless/Shelter,STATEN ISLAND,3
2014-06,Plumbing,BRONX,1162
2014-06,Plumbing,BROOKLYN,1458
2014-06,Plumbing,MANHATTAN,754
2014-06,Plumbing,QUEENS,656
2014-06,Plumbing,STATEN ISLAND,122
2014-06,Water/Leak,BRONX,2111
2014-06,Water/Leak,BROOKLYN,2495
2014-06,Water/Leak,MANHATTAN,1611
2014-06,Water/Leak,QUEENS,1916
2014-06,Water/Leak,STATEN ISLAND,442
2014-07,Boilers,BRONX,3
2014-07,Boilers,BROOKLYN,7
2014-07,Boilers,MANHATTAN,11
2014-07,Boilers,QUEENS,5
2014-07,Boilers,STATEN ISLAND,1
2014-07,Heating/Hot Water,BRONX,741
2014-07,Heating/Hot Water,BROOKLYN,805
2014-07,Heating/Hot Water,MANHATTAN,642
2014-07,Heating/Hot Water,QUEENS,270
2014-07,Heating/Hot Water,STATEN ISLAND,32
2014-07,Homeless/Shelter,BRONX,21
2014-07,Homeless/Shelter,BROOKLYN,132
2014-07,Homeless/Shelter,MANHATTAN,330
2014-07,Homeless/Shelter,QUEENS,58
2014-07,Homeless/Shelter,STATEN ISLAND,10
2014-07,Plumbing,BRONX,1316
2014-07,Plumbing,BROOKLYN,1578
2014-07,Plumbing,MANHATTAN,895
2014-07,Plumbing,QUEENS,627
2014-07,Plumbing,STATEN ISLAND,89
2014-07,Water/Leak,BRONX,3154
2014-07,Water/Leak,BROOKLYN,3135
2014-07,Water/Leak,MANHATTAN,2599
2014-07,Water/Leak,QUEENS,1948
2014-07,Water/Leak,STATEN ISLAND,449
2014-08,Boilers,BRONX,10
2014-08,Boilers,BROOKLYN,11
2014-08,Boilers,MANHATTAN,18
2014-08,Boilers,QUEENS,2
2014-08,Boilers,STATEN ISLAND,1
2014-08,Heating/Hot Water,BRONX,754
2014-08,Heating/Hot Water,BROOKLYN,640
2014-08,Heating/Hot Water,MANHATTAN,446
2014-08,Heating/Hot Water,QUEENS,292
2014-08,Heating/Hot Water,STATEN ISLAND,31
2014-08,Homeless/Shelter,BRONX,36
2014-08,Homeless/Shelter,BROOKLYN,165
2014-08,Homeless/Shelter,MANHATTAN,415
2014-08,Homeless/Shelter,QUEENS,95
2014-08,Homeless/Shelter,STATEN ISLAND,5
2014-08,Plumbing,BRONX,1179
2014-08,Plumbing,BROOKLYN,1380
2014-08,Plumbing,MANHATTAN,822
2014-08,Plumbing,QUEENS,542
2014-08,Plumbing,STATEN ISLAND,112
2014-08,Water/Leak,BRONX,1533
2014-08,Water/Leak,BROOKLYN,2118
2014-08,Water/Leak,MANHATTAN,1446
2014-08,Water/Leak,QUEENS,1535
2014-08,Water/Leak,STATEN ISLAND,417
2014-09,Boilers,BRONX,10
2014-09,Boilers,BROOKLYN,11
2014-09,Boilers,MANHATTAN,16
2014-09,Boilers,QUEENS,4
2014-09,Heating/Hot Water,BRONX,801
2014-09,Heating/Hot Water,BROOKLYN,700
2014-09,Heating/Hot Water,MANHATTAN,576
2014-09,Heating/Hot Water,QUEENS,255
2014-09,Heating/Hot Water,STATEN ISLAND,36
2014-09,Homeless/Shelter,BRONX,31
2014-09,Homeless/Shelter,BROOKLYN,155
2014-09,Homeless/Shelter,MANHATTAN,439
2014-09,Homeless/Shelter,QUEENS,69
2014-09,Homeless/Shelter,STATEN ISLAND,11
2014-09,Plumbing,BRONX,1221
2014-09,Plumbing,BROOKLYN,1528
2014-09,Plumbing,MANHATTAN,831
2014-09,Plumbing,QUEENS,495
2014-09,Plumbing,STATEN ISLAND,100
2014-09,Water/Leak,BRONX,1455
2014-09,Water/Leak,BROOKLYN,1697
2014-09,Water/Leak,MANHATTAN,1274
2014-09,Water/Leak,QUEENS,1400
2014-09,Water/Leak,STATEN ISLAND,422
2014-10,Boilers,BRONX,29
2014-10,Boilers,BROOKLYN,29
2014-10,Boilers,MANHATTAN,39
2014-10,Boilers,QUEENS,11
2014-10,Heating/Hot Water,BRONX,4964
2014-10,Heating/Hot Water,BROOKLYN,5159
2014-10,Heating/Hot Water,MANHATTAN,4145
2014-10,Heating/Hot Water,QUEENS,2284
2014-10,Heating/Hot Water,STATEN ISLAND,217
2014-10,Homeless/Shelter,BRONX,46
2014-10,Homeless/Shelter,BROOKLYN,112
2014-10,Homeless/Shelter,MANHATTAN,345
2014-10,Homeless/Shelter,QUEENS,70
2014-10,Homeless/Shelter,STATEN ISLAND,4
2014-10,Plumbing,BRONX,1461
2014-10,Plumbing,BROOKLYN,1582
2014-10,Plumbing,MANHATTAN,875
2014-10,Plumbing,QUEENS,617
2014-10,Plumbing,STATEN ISLAND,107
2014-10,Water/Leak,BRONX,1268
2014-10,Water/Leak,BROOKLYN,2067
2014-10,Water/Leak,MANHATTAN,1342
2014-10,Water/Leak,QUEENS,1287
2014-10,Water/Leak,STATEN ISLAND,907
2014-11,Boilers,BRONX,56
2014-11,Boilers,BROOKLYN,45
2014-11,Boilers,MANHATTAN,65
2014-11,Boilers,QUEENS,15
2014-11,Boilers,STATEN ISLAND,2
2014-11,Heating/Hot Water,BRONX,14543
2014-11,Heating/Hot Water,BROOKLYN,12897
2014-11,Heating/Hot Water,MANHATTAN,9269
2014-11,Heating/Hot Water,QUEENS,5564
2014-11,Heating/Hot Water,STATEN ISLAND,413
2014-11,Homeless/Shelter,BRONX,21
2014-11,Homeless/Shelter,BROOKLYN,97
2014-11,Homeless/Shelter,MANHATTAN,287
2014-11,Homeless/Shelter,QUEENS,53
2014-11,Homeless/Shelter,STATEN ISLAND,8
2014-11,Plumbing,BRONX,1357
2014-11,Plumbing,BROOKLYN,1738
2014-11,Plumbing,MANHATTAN,1032
2014-11,Plumbing,QUEENS,654
2014-11,Plumbing,STATEN ISLAND,104
2014-11,Snow/Ice,BRONX,9
2014-11,Snow/Ice,BROOKLYN,3
2014-11,Snow/Ice,MANHATTAN,17
2014-11,Snow/Ice,QUEENS,22
2014-11,Snow/Ice,STATEN ISLAND,35
2014-11,Water/Leak,BRONX,1165
2014-11,Water/Leak,BROOKLYN,1784
2014-11,Water/Leak,MANHATTAN,1132
2014-11,Water/Leak,QUEENS,1472
2014-11,Water/Leak,STATEN ISLAND,546
2014-12,Boilers,BRONX,69
2014-12,Boilers,BROOKLYN,28
2014-12,Boilers,MANHATTAN,52
2014-12,Boilers,QUEENS,19
2014-12,Boilers,STATEN ISLAND,1
2014-12,Heating/Hot Water,BRONX,11171
2014-12,Heating/Hot Water,BROOKLYN,9065
2014-12,Heating/Hot Water,MANHATTAN,7033
2014-12,Heating/Hot Water,QUEENS,4321
2014-12,Heating/Hot Water,STATEN ISLAND,248
2014-12,Homeless/Shelter,BRONX,20
2014-12,Homeless/Shelter,BROOKLYN,88
2014-12,Homeless/Shelter,MANHATTAN,246
2014-12,Homeless/Shelter,QUEENS,51
2014-12,Homeless/Shelter,STATEN ISLAND,1
2014-12,Plumbing,BRONX,1484
2014-12,Plumbing,BROOKLYN,1747
2014-12,Plumbing,MANHATTAN,1122
2014-12,Plumbing,QUEENS,622
2014-12,Plumbing,STATEN ISLAND,135
2014-12,Snow/Ice,BRONX,13
2014-12,Snow/Ice,BROOKLYN,13
2014-12,Snow/Ice,MANHATTAN,12
2014-12,Snow/Ice,QUEENS,13
2014-12,Snow/Ice,STATEN ISLAND,17
2014-12,Water/Leak,BRONX,1372
2014-12,Water/Leak,BROOKLYN,2407
2014-12,Water/Leak,MANHATTAN,1144
2014-12,Water/Leak,QUEENS,1717
2014-12,Water/Leak,STATEN ISLAND,448
2015-01,Boilers,BRONX,41
2015-01,Boilers,BROOKLYN,40
2015-01,Boilers,MANHATTAN,59
2015-01,Boilers,QUEENS,31
2015-01,Boilers,STATEN ISLAND,1
2015-01,Heating/Hot Water,BRONX,16316
2015-01,Heating/Hot Water,BROOKLYN,15210
2015-01,Heating/Hot Water,MANHATTAN,11198
2015-01,Heating/Hot Water,QUEENS,6343
2015-01,Heating/Hot Water,STATEN ISLAND,410
2015-01,Homeless/Shelter,BRONX,25
2015-01,Homeless/Shelter,BROOKLYN,72
2015-01,Homeless/Shelter,MANHATTAN,243
2015-01,Homeless/Shelter,QUEENS,42
2015-01,Homeless/Shelter,STATEN ISLAND,4
2015-01,Plumbing,BRONX,1604
2015-01,Plumbing,BROOKLYN,2033
2015-01,Plumbing,MANHATTAN,1207
2015-01,Plumbing,QUEENS,658
2015-01,Plumbing,STATEN ISLAND,155
2015-01,Snow/Ice,BRONX,287
2015-01,Snow/Ice,BROOKLYN,693
2015-01,Snow/Ice,MANHATTAN,175
2015-01,Snow/Ice,QUEENS,1047
2015-01,Snow/Ice,STATEN ISLAND,474
2015-01,Water/Leak,BRONX,1723
2015-01,Water/Leak,BROOKLYN,2930
2015-01,Water/Leak,MANHATTAN,1702
2015-01,Water/Leak,QUEENS,2077
2015-01,Water/Leak,STATEN ISLAND,599
2015-02,Boilers,BRONX,56
2015-02,Boilers,BROOKLYN,61
2015-02,Boilers,MANHATTAN,49
2015-02,Boilers,QUEENS,37
2015-02,Boilers,STATEN ISLAND,2
2015-02,Heating/Hot Water,BRONX,16291
2015-02,Heating/Hot Water,BROOKLYN,15751
2015-02,Heating/Hot Water,MANHATTAN,10926
2015-02,Heating/Hot Water,QUEENS,6585
2015-02,Heating/Hot Water,STATEN ISLAND,536
2015-02,Homeless/Shelter,BRONX,16
2015-02,Homeless/Shelter,BROOKLYN,53
2015-02,Homeless/Shelter,MANHATTAN,266
2015-02,Homeless/Shelter,QUEENS,21
2015-02,Homeless/Shelter,STATEN ISLAND,2
2015-02,Plumbing,BRONX,1716
2015-02,Plumbing,BROOKLYN,2265
2015-02,Plumbing,MANHATTAN,1304
2015-02,Plumbing,QUEENS,838
2015-02,Plumbing,STATEN ISLAND,183
2015-02,Snow/Ice,BRONX,1202
2015-02,Snow/Ice,BROOKLYN,2684
2015-02,Snow/Ice,MANHATTAN,655
2015-02,Snow/Ice,QUEENS,2757
2015-02,Snow/Ice,STATEN ISLAND,969
2015-02,Snow/Ice,Unspecified,1
2015-02,Water/Leak,BRONX,1784
2015-02,Water/Leak,BROOKLYN,3623
2015-02,Water/Leak,MANHATTAN,1482
2015-02,Water/Leak,QUEENS,3048
2015-02,Water/Leak,STATEN ISLAND,793
2015-03,Boilers,BRONX,26
2015-03,Boilers,BROOKLYN,28
2015-03,Boilers,MANHATTAN,51
2015-03,Boilers,QUEENS,16
2015-03,Boilers,STATEN ISLAND,1
2015-03,Heating/Hot Water,BRONX,7830
2015-03,Heating/Hot Water,BROOKLYN,6569
2015-03,Heating/Hot Water,MANHATTAN,5492
2015-03,Heating/Hot Water,QUEENS,2940
2015-03,Heating/Hot Water,STATEN ISLAND,217
2015-03,Homeless/Shelter,BRONX,19
2015-03,Homeless/Shelter,BROOKLYN,76
2015-03,Homeless/Shelter,MANHATTAN,320
2015-03,Homeless/Shelter,QUEENS,44
2015-03,Homeless/Shelter,STATEN ISLAND,4
2015-03,Plumbing,BRONX,1557
2015-03,Plumbing,BROOKLYN,1817
2015-03,Plumbing,MANHATTAN,1163
2015-03,Plumbing,QUEENS,786
2015-03,Plumbing,STATEN ISLAND,134
2015-03,Snow/Ice,BRONX,258
2015-03,Snow/Ice,BROOKLYN,715
2015-03,Snow/Ice,MANHATTAN,190
2015-03,Snow/Ice,QUEENS,668
2015-03,Snow/Ice,STATEN ISLAND,209
2015-03,Water/Leak,BRONX,1793
2015-03,Water/Leak,BROOKLYN,3288
2015-03,Water/Leak,MANHATTAN,1580
2015-03,Water/Leak,QUEENS,2397
2015-03,Water/Leak,STATEN ISLAND,481
2015-04,Boilers,BRONX,32
2015-04,Boilers,BROOKLYN,35
2015-04,Boilers,MANHATTAN,32
2015-04,Boilers,QUEENS,10
2015-04,Boilers,STATEN ISLAND,2
2015-04,Heating/Hot Water,BRONX,4329
2015-04,Heating/Hot Water,BROOKLYN,3695
2015-04,Heating/Hot Water,MANHATTAN,3617
2015-04,Heating/Hot Water,QUEENS,1818
2015-04,Heating/Hot Water,STATEN ISLAND,91
2015-04,Homeless/Shelter,BRONX,32
2015-04,Homeless/Shelter,BROOKLYN,110
2015-04,Homeless/Shelter,MANHATTAN,361
2015-04,Homeless/Shelter,QUEENS,81
2015-04,Homeless/Shelter,STATEN ISLAND,7
2015-04,Plumbing,BRONX,1465
2015-04,Plumbing,BROOKLYN,1436
2015-04,Plumbing,MANHATTAN,1155
2015-04,Plumbing,QUEENS,691
2015-04,Plumbing,STATEN ISLAND,96
2015-04,Snow/Ice,BROOKLYN,3
2015-04,Snow/Ice,MANHATTAN,1
2015-04,Snow/Ice,QUEENS,3
2015-04,Snow/Ice,STATEN ISLAND,2
2015-04,Water/Leak,BRONX,1443
2015-04,Water/Leak,BROOKLYN,2393
2015-04,Water/Leak,MANHATTAN,1367
2015-04,Water/Leak,QUEENS,1881
2015-04,Water/Leak,STATEN ISLAND,752
2015-05,Boilers,BRONX,9
2015-05,Boilers,BROOKLYN,17
2015-05,Boilers,MANHATTAN,38
2015-05,Boilers,QUEENS,8
2015-05,Boilers,STATEN ISLAND,1
2015-05,Heating/Hot Water,BRONX,1270
2015-05,Heating/Hot Water,BROOKLYN,1385
2015-05,Heating/Hot Water,MANHATTAN,1277
2015-05,Heating/Hot Water,QUEENS,639
2015-05,Heating/Hot Water,STATEN ISLAND,58
2015-05,Homeless/Shelter,BRONX,45
2015-05,Homeless/Shelter,BROOKLYN,145
2015-05,Homeless/Shelter,MANHATTAN,564
2015-05,Homeless/Shelter,QUEENS,94
2015-05,Homeless/Shelter,STATEN ISLAND,6
2015-05,Plumbing,BRONX,1191
2015-05,Plumbing,BROOKLYN,1445
2015-05,Plumbing,MANHATTAN,924
2015-05,Plumbing,QUEENS,588
2015-05,Plumbing,STATEN ISLAND,109
2015-05,Water/Leak,BRONX,1526
2015-05,Water/Leak,BROOKLYN,2284
2015-05,Water/Leak,MANHATTAN,1226
2015-05,Water/Leak,QUEENS,1816
2015-05,Water/Leak,STATEN ISLAND,502
2015-06,Boilers,BRONX,71
2015-06,Boilers,BROOKLYN,32
2015-06,Boilers,MANHATTAN,23
2015-06,Boilers,QUEENS,11
2015-06,Boilers,STATEN ISLAND,3
2015-06,Heating/Hot Water,BRONX,873
2015-06,Heating/Hot Water,BROOKLYN,807
2015-06,Heating/Hot Water,MANHATTAN,834
2015-06,Heating/Hot Water,QUEENS,442
2015-06,Heating/Hot Water,STATEN ISLAND,31
2015-06,Homeless/Shelter,BRONX,55
2015-06,Homeless/Shelter,BROOKLYN,196
2015-06,Homeless/Shelter,MANHATTAN,587
2015-06,Homeless/Shelter,QUEENS,96
2015-06,Homeless/Shelter,STATEN ISLAND,6
2015-06,Plumbing,BRONX,1399
2015-06,Plumbing,BROOKLYN,1460
2015-06,Plumbing,MANHATTAN,1036
2015-06,Plumbing,QUEENS,640
2015-06,Plumbing,STATEN ISLAND,98
2015-06,Water/Leak,BRONX,2321
2015-06,Water/Leak,BROOKLYN,3037
2015-06,Water/Leak,MANHATTAN,2055
2015-06,Water/Leak,QUEENS,1880
2015-06,Water/Leak,STATEN ISLAND,492
2015-07,Boilers,BRONX,32
2015-07,Boilers,BROOKLYN,24
2015-07,Boilers,MANHATTAN,22
2015-07,Boilers,QUEENS,8
2015-07,Heating/Hot Water,BRONX,808
2015-07,Heating/Hot Water,BROOKLYN,762
2015-07,Heating/Hot Water,MANHATTAN,663
2015-07,Heating/Hot Water,QUEENS,271
2015-07,Heating/Hot Water,STATEN ISLAND,24
2015-07,Homeless/Shelter,BRONX,49
2015-07,Homeless/Shelter,BROOKLYN,228
2015-07,Homeless/Shelter,MANHATTAN,868
2015-07,Homeless/Shelter,QUEENS,116
2015-07,Homeless/Shelter,STATEN ISLAND,8
2015-07,Plumbing,BRONX,1480
2015-07,Plumbing,BROOKLYN,1533
2015-07,Plumbing,MANHATTAN,963
2015-07,Plumbing,QUEENS,631
2015-07,Plumbing,STATEN ISLAND,81
2015-07,Water/Leak,BRONX,3548
2015-07,Water/Leak,BROOKLYN,3900
2015-07,Water/Leak,MANHATTAN,2637
2015-07,Water/Leak,QUEENS,2419
2015-07,Water/Leak,STATEN ISLAND,458
2015-08,Boilers,BRONX,4
2015-08,Boilers,BROOKLYN,15
2015-08,Boilers,MANHATTAN,13
2015-08,Boilers,QUEENS,6
2015-08,Boilers,STATEN ISLAND,1
2015-08,Heating/Hot Water,BRONX,581
2015-08,Heating/Hot Water,BROOKLYN,680
2015-08,Heating/Hot Water,MANHATTAN,780
2015-08,Heating/Hot Water,QUEENS,290
2015-08,Heating/Hot Water,STATEN ISLAND,31
2015-08,Homeless/Shelter,BRONX,55
2015-08,Homeless/Shelter,BROOKLYN,266
2015-08,Homeless/Shelter,MANHATTAN,971
2015-08,Homeless/Shelter,QUEENS,138
2015-08,Homeless/Shelter,STATEN ISLAND,9
2015-08,Homeless/Shelter,Unspecified,2
2015-08,Plumbing,BRONX,1405
2015-08,Plumbing,BROOKLYN,1354
2015-08,Plumbing,MANHATTAN,1133
2015-08,Plumbing,QUEENS,613
2015-08,Plumbing,STATEN ISLAND,65
2015-08,Water/Leak,BRONX,2448
2015-08,Water/Leak,BROOKLYN,3083
2015-08,Water/Leak,MANHATTAN,2308
2015-08,Water/Leak,QUEENS,1883
2015-08,Water/Leak,STATEN ISLAND,426
2015-09,Boilers,BRONX,11
2015-09,Boilers,BROOKLYN,15
2015-09,Boilers,MANHATTAN,13
2015-09,Boilers,QUEENS,2
2015-09,Boilers,STATEN ISLAND,2
2015-09,Heating/Hot Water,BRONX,866
2015-09,Heating/Hot Water,BROOKLYN,668
2015-09,Heating/Hot Water,MANHATTAN,720
2015-09,Heating/Hot Water,QUEENS,305
2015-09,Heating/Hot Water,STATEN ISLAND,31
2015-09,Homeless/Shelter,BRONX,45
2015-09,Homeless/Shelter,BROOKLYN,234
2015-09,Homeless/Shelter,MANHATTAN,1044
2015-09,Homeless/Shelter,QUEENS,161
2015-09,Homeless/Shelter,STATEN ISLAND,19
2015-09,Plumbing,BRONX,1377
2015-09,Plumbing,BROOKLYN,1494
2015-09,Plumbing,MANHATTAN,1061
2015-09,Plumbing,QUEENS,551
2015-09,Plumbing,STATEN ISLAND,105
2015-09,Water/Leak,BRONX,1869
2015-09,Water/Leak,BROOKLYN,2392
2015-09,Water/Leak,MANHATTAN,1461
2015-09,Water/Leak,QUEENS,1757
2015-09,Water/Leak,STATEN ISLAND,457
2015-10,Boilers,BRONX,21
2015-10,Boilers,BROOKLYN,33
2015-10,Boilers,MANHATTAN,31
2015-10,Boilers,QUEENS,7
2015-10,Boilers,STATEN ISLAND,2
2015-10,Heating/Hot Water,BRONX,7030
2015-10,Heating/Hot Water,BROOKLYN,7764
2015-10,Heating/Hot Water,MANHATTAN,7142
2015-10,Heating/Hot Water,QUEENS,3437
2015-10,Heating/Hot Water,STATEN ISLAND,264
2015-10,Homeless/Shelter,BRONX,35
2015-10,Homeless/Shelter,BROOKLYN,177
2015-10,Homeless/Shelter,MANHATTAN,781
2015-10,Homeless/Shelter,QUEENS,67
2015-10,Homeless/Shelter,STATEN ISLAND,19
2015-10,Plumbing,BRONX,1606
2015-10,Plumbing,BROOKLYN,1735
2015-10,Plumbing,MANHATTAN,1198
2015-10,Plumbing,QUEENS,705
2015-10,Plumbing,STATEN ISLAND,130
2015-10,Water/Leak,BRONX,1465
2015-10,Water/Leak,BROOKLYN,2408
2015-10,Water/Leak,MANHATTAN,1557
2015-10,Water/Leak,QUEENS,1943
2015-10,Water/Leak,STATEN ISLAND,544
2015-10,Water/Leak,Unspecified,1
2015-11,Boilers,BRONX,43
2015-11,Boilers,BROOKLYN,42
2015-11,Boilers,MANHATTAN,49
2015-11,Boilers,QUEENS,20
2015-11,Boilers,STATEN ISLAND,5
2015-11,Heating/Hot Water,BRONX,8635
2015-11,Heating/Hot Water,BROOKLYN,8384
2015-11,Heating/Hot Water,MANHATTAN,6701
2015-11,Heating/Hot Water,QUEENS,3733
2015-11,Heating/Hot Water,STATEN ISLAND,254
2015-11,Homeless/Shelter,BRONX,23
2015-11,Homeless/Shelter,BROOKLYN,177
2015-11,Homeless/Shelter,MANHATTAN,737
2015-11,Homeless/Shelter,QUEENS,94
2015-11,Homeless/Shelter,STATEN ISLAND,21
2015-11,Plumbing,BRONX,1511
2015-11,Plumbing,BROOKLYN,1548
2015-11,Plumbing,MANHATTAN,1184
2015-11,Plumbing,QUEENS,661
2015-11,Plumbing,STATEN ISLAND,113
2015-11,Snow/Ice,BROOKLYN,6
2015-11,Snow/Ice,QUEENS,2
2015-11,Water/Leak,BRONX,1343
2015-11,Water/Leak,BROOKLYN,1955
2015-11,Water/Leak,MANHATTAN,1328
2015-11,Water/Leak,QUEENS,1718
2015-11,Water/Leak,STATEN ISLAND,353
2015-12,Boilers,BRONX,36
2015-12,Boilers,BROOKLYN,42
2015-12,Boilers,MANHATTAN,47
2015-12,Boilers,QUEENS,40
2015-12,Boilers,STATEN ISLAND,2
2015-12,Heating/Hot Water,BRONX,7216
2015-12,Heating/Hot Water,BROOKLYN,6538
2015-12,Heating/Hot Water,MANHATTAN,5407
2015-12,Heating/Hot Water,QUEENS,3049
2015-12,Heating/Hot Water,STATEN ISLAND,234
2015-12,Homeless/Shelter,BRONX,37
2015-12,Homeless/Shelter,BROOKLYN,187
2015-12,Homeless/Shelter,MANHATTAN,1099
2015-12,Homeless/Shelter,QUEENS,107
2015-12,Homeless/Shelter,STATEN ISLAND,18
2015-12,Plumbing,BRONX,1519
2015-12,Plumbing,BROOKLYN,1475
2015-12,Plumbing,MANHATTAN,1017
2015-12,Plumbing,QUEENS,571
2015-12,Plumbing,STATEN ISLAND,103
